,voltage,test_time,current,internal_resistance,charge_capacity,discharge_capacity,charge_energy,discharge_energy,temperature,cycle_index,cycle_type,step_index,step_index_counter,step_type,discharge_dQdV,charge_dQdV
16109,4.087224,713400.1353632265,-0.011993591,0.0,0.2578448816,0.04638192214963996,0.9873879333,0.19570802642346086,,1,rpt_0.05C,13,2,1,-0.18581104,-1.9912505e-14
16110,4.084436,713555.7278607215,-0.012001019,0.0,0.2578448816000001,0.046899917524937364,0.9873879333,0.19782445417273292,,1,rpt_0.05C,13,2,1,-0.18528341,3.982501e-14
16111,4.0816483,713710.8788770398,-0.011970703,0.0,0.25784488159999996,0.04741644199525201,0.9873879332999999,0.19993347502688907,,1,rpt_0.05C,13,2,1,-0.19212961,0.0
16112,4.0788608,713871.7630561121,-0.011975206,0.0,0.25784488159999996,0.04795205199699397,0.9873879332999999,0.2021189300315505,,1,rpt_0.05C,13,2,1,-0.18577445,-1.9912505e-14
16113,4.0760727,714027.3246292586,-0.012007733,0.0,0.2578448816,0.04846994533228064,0.9873879333,0.20423063972038913,,1,rpt_0.05C,13,2,1,-0.19111863,0.0
16114,4.073285,714187.3613777555,-0.011977186,0.0,0.2578448816,0.049002736945179926,0.9873879333,0.20640162011432106,,1,rpt_0.05C,13,2,1,-0.19371535,0.0
16115,4.0704975,714349.5727066634,-0.012013647,0.0,0.2578448816,0.04954276755838275,0.9873879333000001,0.20860055407274664,,1,rpt_0.05C,13,2,1,-0.17786035,0.0
16116,4.0677094,714498.5084844689,-0.011949835,0.0,0.2578448816,0.05003859834910003,0.9873879333,0.2106181710643147,,1,rpt_0.05C,13,2,1,-0.20012864,-1.9912505e-14
16117,4.064922,714666.0911289245,-0.0120090265,0.0,0.2578448816000001,0.050596507669792956,0.9873879333,0.21288683530471625,,1,rpt_0.05C,13,2,1,-0.1884643,1.9912505e-14
16118,4.0621343,714823.9049023045,-0.011995083,0.0,0.2578448816,0.051121899647405385,0.9873879332999999,0.21502178186572105,,1,rpt_0.05C,13,2,1,-0.19108824,0.0
16119,4.059346,714983.9173334169,-0.011993591,0.0,0.2578448816,0.05165460655668247,0.9873879333000001,0.21718496870602189,,1,rpt_0.05C,13,2,1,-0.19350393,0.0
16120,4.0565586,715145.9525601203,-0.011985821,0.0,0.2578448816,0.05219404778510266,0.9873879333,0.21937397718151408,,1,rpt_0.05C,13,2,1,-0.18038125,0.0
