rpt_low_energy,rpt_med_energy,regu_energy,rpt_low_cap,rpt_med_cap,regu_cap,seq_num,diag_pos,cycle_index
0.957124871,0.946093048,0.899815286,0.253676861,0.251185429,0.240960294,176,2,127
0.943934392,0.933361187,0.889678839,0.250057984,0.247761074,0.238461116,176,3,230
0.931981811,0.921342865,0.877738954,0.24681186,0.244565947,0.235505798,176,4,333
0.909481206,0.896630997,0.841325291,0.240674098,0.237843796,0.22591952,176,5,436
0.89903917,0.88577154,0.819817177,0.237947957,0.235090979,0.220205473,176,6,539
0.878595969,0.86563274,0.683175236,0.23258928,0.230043675,0.184152137,176,7,642
0.843000565,0.801775987,0.574584739,0.223193086,0.213866011,0.155884758,176,8,745
0.775696253,0.682679303,0.421192243,0.204932405,0.181810772,0.115150799,176,9,848
0.700994235,0.586911972,0.293722911,0.184525819,0.155876789,0.081082409,176,10,951
,,0.923476741,,,0.24712641,102,hppc_1,8
1.003421084,0.976081516,0.922939381,0.266357769,0.259163328,0.247033429,102,0,0
0.987167025,0.970262643,0.918462872,0.261796335,0.257652889,0.245822517,102,1,24
0.961974146,0.948736599,0.906280406,0.25482627,0.251828524,0.242870221,102,2,127
0.948298764,0.935853391,0.895275216,0.251093519,0.248354683,0.240112429,102,3,230
0.934961673,0.921842252,0.875272113,0.247499302,0.244636349,0.235006287,102,4,333
0.915544836,0.901170439,0.843395057,0.242298524,0.239152425,0.226527938,102,5,436
0.897434585,0.876820528,0.737103118,0.237634459,0.233150553,0.198862934,102,6,539
0.857552829,0.808479709,0.622997893,0.227053209,0.215328867,0.169085131,102,7,642
0.773406681,0.683593157,0.410985304,0.204067552,0.181811159,0.112482919,102,8,745
0.670035663,0.545736335,0.1913862,0.176089605,0.144775819,0.053187329,102,9,848
0.623905359,0.478544237,0.091110786,0.16372238,0.127272723,0.025601395,102,10,951
0.606068259,0.403895327,0.041328361,0.15907797,0.107872231,0.011026391,102,11,1054
,,0.929142844,,,0.248999368,138,hppc_1,8
0.990876943,0.978185201,0.929390732,0.262888721,0.259916198,0.249106403,138,0,0
0.979639527,0.970644779,0.923528762,0.259678194,0.257807787,0.247558821,138,1,24
0.958739231,0.950912151,0.910352378,0.253867984,0.252369445,0.244102699,138,2,127
0.947287901,0.939460624,0.898868665,0.250754993,0.249292848,0.241170904,138,3,230
0.938717572,0.930048283,0.888372935,0.248463223,0.246835661,0.238585053,138,4,333
0.923070576,0.913483978,0.861749659,0.244277405,0.242427672,0.231709095,138,5,436
0.907400491,0.89558007,0.830864011,0.240124022,0.237748773,0.223551702,138,6,539
0.894518937,0.877410001,0.778280162,0.236821571,0.233292124,0.210102143,138,7,642
0.867210258,0.83703221,0.688004703,0.229788162,0.222874987,0.186582394,138,8,745
0.818012686,0.780216048,0.573382479,0.216469674,0.20766801,0.15603671,138,9,848
0.720810427,0.655929475,0.344552211,0.19004852,0.174099667,0.094653693,138,10,951
,,0.923839403,,,0.247552901,120,hppc_1,8
1.010531425,0.979247412,0.921512536,0.26830912,0.260195748,0.246984418,120,0,0
0.998278014,0.975398763,0.919556154,0.264764407,0.25913837,0.246449962,120,1,24
0.976756247,0.959020085,0.915698955,0.258770048,0.25464956,0.245584521,120,2,127
0.964321352,0.946858,0.905372438,0.255389613,0.251421171,0.243114219,120,3,230
0.953794664,0.935693282,0.893429532,0.252565813,0.248502107,0.240222926,120,4,333
0.943637103,0.925202796,0.877859843,0.24985844,0.245797383,0.236288708,120,5,436
0.927586072,0.907281498,0.849886747,0.245574316,0.241014506,0.229140735,120,6,539
0.912022794,0.884342509,0.78851573,0.241524495,0.235107938,0.212963431,120,7,642
0.856459864,0.82650126,0.671142605,0.226463321,0.219633614,0.181749209,120,8,745
0.693722497,0.635311072,0.351835168,0.18206609,0.167814885,0.096087469,120,9,848
,,0.920975265,,,0.245937019,150,hppc_1,8
0.989788628,0.971073801,0.920993673,0.262745655,0.257761345,0.245962014,150,0,0
0.97760551,0.965316733,0.915497023,0.259293918,0.25622923,0.244575115,150,1,24
0.951421281,0.943720959,0.900983066,0.252017339,0.250376602,0.240916414,150,2,127
0.937644429,0.930031425,0.890182197,0.248247323,0.246684515,0.238177075,150,3,230
0.919084363,0.910038251,0.863820799,0.243229272,0.241299284,0.231358586,150,4,333
0.904745117,0.894416617,0.814119557,0.239472006,0.237300622,0.218100528,150,5,436
0.878934472,0.868863754,0.677285861,0.232647993,0.2307944,0.182256681,150,6,539
0.851403153,0.825105644,0.581718475,0.225436693,0.219552949,0.157294997,150,7,642
0.809909044,0.7661795,0.500339466,0.2145001,0.2042699,0.136391042,150,8,745
0.725723658,0.601961375,0.313781921,0.191501583,0.160560083,0.086642702,150,9,848
,,0.905316362,,,0.242756231,310,hppc_1,8
0.949107433,0.939926113,0.905328882,0.251356122,0.249504636,0.242735215,310,0,0
0.939911564,0.93138232,0.900389449,0.248795724,0.247149203,0.241495312,310,1,24
0.925540293,0.917830963,0.888685287,0.244876508,0.243445529,0.23848653,310,2,127
0.915208925,0.908556514,0.879760485,0.242070164,0.240955637,0.236232706,310,3,230
0.908089427,0.900965271,0.869246499,0.240167791,0.238973663,0.23359739,310,4,333
0.898406338,0.889704089,0.849135888,0.23759405,0.236014377,0.22835276,310,5,436
0.878226843,0.867464792,0.80527106,0.232186168,0.230018034,0.216701132,310,6,539
0.857757483,0.845974497,0.7658163,0.226698194,0.224278544,0.206239892,310,7,642
0.846167781,0.832392478,0.735248505,0.223632456,0.220857809,0.198391957,310,8,745
0.833120084,0.817172877,0.717331733,0.220478822,0.217393943,0.194592233,310,9,848
0.822345834,0.806884513,0.666142567,0.21760906,0.214785012,0.181312705,310,10,951
0.79771891,0.776237361,0.569065286,0.21095517,0.206743544,0.155765081,310,11,1054
0.702612155,0.637662392,0.276230158,0.18502406,0.169371048,0.076478883,310,12,1157
,,0.922998623,,,0.246723941,168,hppc_1,8
0.996008908,0.977132499,0.922662637,0.264585367,0.259464449,0.246675454,168,0,0
0.987284119,0.975665051,0.92088316,0.261970433,0.259031891,0.24620797,168,1,24
0.960871102,0.956883881,0.912870115,0.254574046,0.253950418,0.2442631,168,2,127
0.946854785,0.94345404,0.902952633,0.250726987,0.250338327,0.241801344,168,3,230
0.935219253,0.932053002,0.891410639,0.247588809,0.247324271,0.238966544,168,4,333
0.916704901,0.911467541,0.861483983,0.24259072,0.241774343,0.231153631,168,5,436
0.905632456,0.899914515,0.83889701,0.239688423,0.238844399,0.225244077,168,6,539
0.8868404,0.877705645,0.733231948,0.234793984,0.233215487,0.197442523,168,7,642
0.851390951,0.818833312,0.602501642,0.225465639,0.217987277,0.163103066,168,8,745
0.760535326,0.666453669,0.399702851,0.200703104,0.177193502,0.109252507,168,9,848
0.664467809,0.525067232,0.15850686,0.174731418,0.139220432,0.044458755,168,10,951
,,0.920638282,,,0.246492977,178,hppc_1,8
0.996755152,0.975196362,0.920619496,0.264668185,0.258985812,0.246505971,178,0,0
0.987038108,0.971679845,0.917243597,0.261924617,0.258107058,0.245656026,178,1,24
0.965012514,0.956191019,0.910329673,0.25578253,0.253967753,0.244030135,178,2,127
0.951535746,0.943448531,0.901500786,0.252079135,0.250552823,0.241911284,178,3,230
0.939485053,0.931334594,0.89075517,0.248810891,0.247318706,0.239305493,178,4,333
0.923089292,0.914177794,0.87093727,0.24433301,0.242678412,0.234227345,178,5,436
0.907762973,0.896455151,0.843243072,0.240208825,0.237925652,0.226787927,178,6,539
0.900197073,0.887205456,0.816771608,0.238313133,0.235663138,0.2200134,178,7,642
0.873767977,0.859714515,0.703650949,0.231245131,0.22849442,0.190177605,178,8,745
0.80757567,0.758626525,0.543783965,0.213355869,0.201754468,0.14766621,178,9,848
0.678766873,0.506426808,0.189720139,0.178381838,0.133942644,0.052752152,178,10,951
,,0.921297413,,,0.246527922,286,hppc_1,8
0.995326268,0.975978503,0.920370869,0.264420833,0.259316827,0.246305939,286,0,0
0.986358886,0.972961107,0.918989221,0.261773267,0.258468398,0.245941467,286,1,24
0.964865997,0.958318425,0.913021448,0.255740744,0.254460515,0.244508579,286,2,127
0.953144002,0.947034797,0.906506073,0.252486242,0.251385954,0.242836196,286,3,230
0.942985137,0.937155156,0.896496304,0.249744817,0.248767078,0.240407845,286,4,333
0.934882999,0.928540966,0.889265343,0.247522199,0.246460824,0.238661499,286,5,436
0.926581856,0.919412683,0.879451035,0.245276705,0.244047276,0.236245678,286,6,539
0.913182423,0.90596286,0.864542325,0.241617502,0.240414889,0.232430952,286,7,642
0.900841264,0.892257464,0.844334743,0.238252679,0.236704485,0.227078362,286,8,745
0.886676162,0.877089778,0.822352743,0.23442274,0.232610821,0.22122078,286,9,848
0.865784057,0.85079731,0.762712485,0.228949382,0.225790023,0.205637431,286,10,951
0.842649058,0.820169809,0.698367554,0.222915715,0.217858233,0.188722149,286,11,1054
0.708485935,0.681220143,0.489944186,0.186141213,0.179989466,0.132970216,286,12,1157
0.544897253,0.467669499,0.200675701,0.142112163,0.122680205,0.055365914,286,13,1260
0.514461308,0.414179445,0.038177331,0.134116347,0.109079794,0.009886235,286,14,1363
,,0.936126644,,,0.250675219,128,hppc_1,8
0.989487074,0.97852294,0.936926148,0.262289499,0.259872485,0.250942184,128,0,0
0.979378378,0.970030168,0.930263367,0.259412151,0.257459326,0.249120848,128,1,24
0.958916003,0.9527241,0.918326501,0.253759391,0.252670427,0.245974711,128,2,127
0.947392354,0.941137425,0.907587699,0.250620726,0.249558112,0.243214893,128,3,230
0.937803368,0.931604312,0.8963184,0.248044268,0.24703378,0.240377461,128,4,333
0.928473653,0.921806825,0.881241311,0.24556296,0.244464934,0.23651637,128,5,436
0.908841719,0.901003305,0.847063681,0.24026802,0.238865841,0.227554877,128,6,539
0.890337647,0.879434981,0.809947658,0.23536286,0.233177609,0.21761959,128,7,642
0.87867806,0.863617622,0.757842329,0.232462863,0.229409557,0.204693601,128,8,745
0.84262812,0.821498687,0.631707415,0.222830197,0.218362998,0.171339304,128,9,848
0.773698707,0.732528784,0.449650581,0.204057674,0.194516205,0.12266212,128,10,951
0.674901985,0.577118628,0.165786082,0.177467492,0.153030526,0.046577698,128,11,1054
,,0.912896383,,,0.244414165,184,hppc_1,8
1.005339624,0.971121547,0.912211044,0.266997619,0.258028544,0.24427189,184,0,0
0.995581682,0.967437602,0.909759799,0.264142069,0.256987586,0.243590169,184,1,24
0.975892196,0.952584333,0.903706825,0.258662185,0.252988256,0.242138449,184,2,127
0.962753306,0.939668799,0.893809992,0.255066611,0.249535072,0.239783551,184,3,230
0.951432744,0.928057836,0.882763989,0.252029302,0.24648893,0.237123232,184,4,333
0.940978173,0.917080205,0.870893235,0.249200412,0.243597689,0.234206239,184,5,436
0.924479089,0.900322729,0.849058935,0.244749484,0.239118574,0.228575518,184,6,539
0.906820607,0.881414249,0.816119145,0.240001506,0.234037944,0.219828741,184,7,642
0.895123008,0.866686866,0.769070787,0.236974815,0.230288261,0.207535361,184,8,745
0.738078598,0.690528305,0.498241929,0.194145712,0.182525817,0.135176307,184,9,848
,,0.913343082,,,0.244316926,152,hppc_1,8
